school_number,school_name,instruction_type,charter_type,school_street_address,school_city,school_state,school_zip,school_site_street_address,school_site_city,school_site_state,school_site_zip,school_phone,school_fax,school_email_address,school_web_page_address,school_principal,grade_range,enrollment_as_of_oct_2012,school_status,school_status_date,update_date
'220915002,TARRANT CO J J A E P,JJAEP INSTRUCTIONAL,,300 ROE ST,AZLE,TX,76020-3194,300 ROE ST,AZLE,TX,76020-3194, , ,,,    ,'06-12,0,Active,8/1/96,7/24/13 5:35
'220916007,TARRANT CO J J A E P,JJAEP INSTRUCTIONAL,,1849 CENTRAL DR,BEDFORD,TX,76022-6096,2701 KIMBO RD,FT WORTH,TX,76111-3099, , ,,,MR JIM SHORT   ,'06-12,-1,Active,7/1/97,7/24/13 5:35
'220917004,T R U C E LEARNING CTR,DAEP INSTRUCTIONAL,,1026 MERRITT ST,FORT WORTH,TX,76114-2639,1026 MERRITT ST,FORT WORTH,TX,76114-2639,(817) 252-2492,(817) 252-2499,mcgrathc@castleberryisd.net,truce.castleberryisd.net,MR CHRISTOPHER MCGRATH   ,'06-12,-1,Active,7/1/96,7/24/13 5:35
'220917005,TARRANT CO J J A E P,JJAEP INSTRUCTIONAL,,315 CHURCHILL RD,FORT WORTH,TX,76114-3729,315 CHURCHILL RD,FORT WORTH,TX,76114-3729, , ,mcgrathc@castleberryisd.net,,MR CHRISTOPHER MCGRATH   ,'06-12,0,Active,7/1/97,7/24/13 5:35
'220918007,TARRANT CO J J A E P,JJAEP INSTRUCTIONAL,,3131 SAN GUINET,FORT WORTH,TX,76107,3131 SAN GUINET,FORT WORTH,TX,76107,(817) 255-2522,(817) 732-3966,mwieberg@tarrantcounty.com,tarrantcountyjjaep.com,    ,'06-12,9,Active,8/1/96,7/24/13 5:35
'220919002,TARRANT CO J J A E P,JJAEP INSTRUCTIONAL,,2400 N CARROLL AVE,SOUTHLAKE,TX,76092,2400 N CARROLL AVE,SOUTHLAKE,TX,76092,(817) 949-8222,(817) 949-8228,david.faltys@southlakecarroll.edu,,    ,'06-12,0,Active,7/1/97,7/24/13 5:35
'221901005,REASSIGNMENT CTR,DAEP INSTRUCTIONAL,,1101 S 9TH ST,ABILENE,TX,79602-2601,1101 S 9TH ST,ABILENE,TX,79602-2601,(325) 671-4648,(325) 794-1328,connie.mangin@abileneisd.org,www.abileneisd.org,MS CONNIE MANGIN   ,'06-12,0,Active,7/1/87,7/24/13 5:35
'221911003,NEW J J A E P,JJAEP INSTRUCTIONAL,,P O BOX 9,TUSCOLA,TX,79562-0009,842 MOCKINGBIRD,ABILENE,TX,79603-7190, , ,,,    ,'06-12,0,Active,1/18/02,7/24/13 5:35
'222901001,SANDERSON JUNIOR/SENIOR HIGH,REGULAR INSTRUCTIONAL,,P O BOX 747,SANDERSON,TX,79848-0747,310 2ND ST,SANDERSON,TX,79848-0101,(432) 345-2515 ext:200 ,(432) 345-2670,gham@terrell.esc18.net,,MARK DOMINGUEZ   ,'06-12,58,Active, ,7/24/13 5:35
'225902003,MOUNT PLEASANT DAEP,DAEP INSTRUCTIONAL,,P O BOX 1117,MOUNT PLEASANT,TX,75456-1117,2110 N EDWARDS,MOUNT PLEASANT,TX,75455,(903) 575-2095,(903) 575-2014,hlesher@mpisd.net,,MR JUDD MARSHALL   ,'06-12,12,Active,5/2/02,7/24/13 5:35
'226901001,CHRISTOVAL H S,REGULAR INSTRUCTIONAL,,P O BOX 162,CHRISTOVAL,TX,76935-0162,20454 RANCH RD 2084,CHRISTOVAL,TX,76935,(325) 896-2355,(325) 896-2671,john.choate@christovalisd.org,www.christovalisd.org,MR JOHN CHOATE   ,'06-12,257,Active, ,7/24/13 5:35
'226901002,FAIRVIEW ACCELERATED,ALTERNATIVE INSTRUCTIONAL,,P O BOX 162,CHRISTOVAL,TX,76935-0162,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904-9664,(325) 651-7656,(325) 651-8504,,,MR ALBERT JOHNSON   ,'06-12,-1,Active,1/1/96,7/24/13 5:35
'226901006,FAIRVIEW VT,ALTERNATIVE INSTRUCTIONAL,,P O BOX 162,CHRISTOVAL,TX,76935-0162,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904,(325) 651-7656,(325) 651-8504,,,MR ALBERT JOHNSON   ,'06-12,-1,Active,6/28/02,7/24/13 5:35
'226901195,FAIRVIEW SPECIAL PROGRAMS,ALTERNATIVE INSTRUCTIONAL,,P O BOX 162,CHRISTOVAL,TX,76935-0162,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904,(325) 947-0939,(325) 947-0456,,,MR ALBERT JOHNSON   ,'06-12,-1,Active,7/1/95,7/24/13 5:35
'226906005,FAIRVIEW ACCELERATED DAEP,DAEP INSTRUCTIONAL,,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904,(915) 651-7686, ,,,MR ALBERT JOHNSON   ,'06-12,0,Active,9/1/99,7/24/13 5:35
'226908005,VERIBEST DAEP,DAEP INSTRUCTIONAL,,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904,(325) 651-7656, ,bert.johnson@netxv.net,,BERT JOHNSON   ,'06-12,0,Active,1/7/03,7/24/13 5:35
'227806023,PATHWAYS 3H CAMPUS,ALTERNATIVE INSTRUCTIONAL,COLLEGE/UNIVERSITY CHARTER,P O BOX 7667,AUSTIN,TX,78713-7667,110 YOUTH RANCH CIR,MOUNTAIN HOME,TX,78058,(830) 866-3761,(830) 866-3705,sherrington@mail.utexas.edu,wwww.utexas.edu/cie,SONJA HERRINGTON   ,'06-12,43,Active,7/8/02,7/24/13 5:35
'227816002,HARMONY SCIENCE ACADEMY NORTH AUSTIN,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,1421 WELLS BRANCH PKWY W STE 200,PFLUGERVILLE,TX,78660,1421 WELLS BRANCH PKWY W STE 200,PFLUGERVILLE,TX,78660,(512) 251-5000,(512) 251-5001,info.hsana@harmonytx.org,www.hsana.org,MUSTAFA ALTINDAG   ,'06-12,602,Active,8/25/08,7/24/13 5:35
'227825001,AUSTIN ACHIEVE PUBLIC SCHOOLS,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,4001 SINCLAIR AVE,AUSTIN,TX,78756,6510 BERKMAN DR,AUSTIN,TX,78723,(512) 887-2709,(512) 727-3788,jarmbrust@austinachieve.org,www.austinachieve.org,JOHN ARMBRUST   ,'06-12,118,Active,8/27/12,7/24/13 5:35
'227901012,ALTERNATIVE LEARNING CENTER,DAEP INSTRUCTIONAL,,900 NEAL ST,AUSTIN,TX,78702-2408,900 NEAL ST,AUSTIN,TX,78702-2408,(512) 414-2554,(512) 476-2809,,,MR JEFFREY BLACK   ,'06-12,149,Active,9/1/85,7/24/13 5:35
'227901027,TRAVIS COUNTY DAY SCHOOL,ALTERNATIVE INSTRUCTIONAL,,8011 CAMERON RD STE B,AUSTIN,TX,78754,8011 CAMERON RD STE B,AUSTIN,TX,78754, , ,sabatino@austinisd.org,,    ,'06-12,23,Active,6/17/08,7/24/13 5:35
'227901028,RICHARDS SCH FOR YOUNG WOMEN LEADERS,ALTERNATIVE INSTRUCTIONAL,,2206 PRATHER LN,AUSTIN,TX,78704,2206 PRATHER LN,AUSTIN,TX,78704,(512) 414-3236,(512) 441-5208,superintendent@austinisd.org,,MS JEANNE GOKA   ,'06-12,682,Active,5/24/07,7/24/13 5:35
'227901032,PHOENIX ACADEMY,ALTERNATIVE INSTRUCTIONAL,,400 W LIVE OAK,AUSTIN,TX,78704,400 W LIVE OAK,AUSTIN,TX,78704,(512) 440-0613 ext:4721,(512) 440-0235,hector.rodriguez@austin.isd.tenet.edu,,MR HECTOR RODRIQUEZ   ,'06-12,32,Active,8/1/99,7/24/13 5:35
'227901035,LEADERSHIP ACADEMY,ALTERNATIVE INSTRUCTIONAL,,2515 S CONGRESS,AUSTIN,TX,78704,2515 S CONGRESS,AUSTIN,TX,78704,(512) 854-7077,(512) 476-2809,hector.rodriguez@austin.isd.tenet.edu,,MR HECTOR RODRIQUEZ   ,'06-12,30,Active,12/1/98,7/24/13 5:35
'227904008,TRAVIS CO J J A E P,JJAEP INSTRUCTIONAL,,1401 W PECAN ST,PFLUGERVILLE,TX,78660-2518,1401 W PECAN ST,PFLUGERVILLE,TX,78660-2518,(512) 594-0151,(512) 594-0005,freddie.mcfarland@pfisd.net,,    ,'06-12,-1,Active,8/1/96,7/24/13 5:35
'227907002,MANOR EXCEL ACADEMY,ALTERNATIVE INSTRUCTIONAL,,P O BOX 359,MANOR,TX,78653-0359,10334 OLD HWY 20,MANOR,TX,78653-0359,(512) 278-4850,(512) 278-4859,eduardo.lozano@manorisd.net,www.manorisd.net,DR EDUARDO LOZANO   ,'06-12,136,Active,1/1/95,7/24/13 5:35
'227907003,TRAVIS CO J J A E P,JJAEP INSTRUCTIONAL,,10335 HWY 290E,MANOR,TX,78653,10335 HWY 290E,MANOR,TX,78653,(512) 278-4971,(512) 278-4969,andrew.kim@manorisd.net,,    ,'06-12,0,Active,8/1/96,7/24/13 5:35
'227909003,TRAVIS CO J J A E P,JJAEP INSTRUCTIONAL,,601 CAMP CRAFT RD,AUSTIN,TX,78746-6511,601 CAMP CRAFT RD,AUSTIN,TX,78746-6511, , ,,,    ,'06-12,0,Active,8/1/96,7/24/13 5:35
'227910005,TRAVIS CO J J A E P,JJAEP INSTRUCTIONAL,,5301 ROSS RD,DEL VALLE,TX,78617-9404,3207 W SLAUGHTER LN,AUSTIN,TX,78748-5707,(512) 386-3040,(512) 386-3045,,,MR RON QUIROS   ,'06-12,-1,Active,8/1/96,7/24/13 5:35
'227913002,TRAVIS CO J J A E P,JJAEP INSTRUCTIONAL,,3322 RANCH RD 620 S,AUSTIN,TX,78738-6801,3322 RANCH RD 620 S,AUSTIN,TX,78738-6801, , ,,,    ,'06-12,-1,Active,9/1/81,7/24/13 5:35
'228901001,GROVETON J H-H S,REGULAR INSTRUCTIONAL,,HWY 94 & W 5TH ST,GROVETON,TX,75845-0700,HWY 94 & W 5TH ST,GROVETON,TX,75845-0700,(409) 642-1128,(409) 642-1616,joe_driskell@grovetonisd.net,,JOHNNY RHEA   ,'06-12,381,Active, ,7/24/13 5:35
'229904003,WARREN JJAEP,JJAEP INSTRUCTIONAL,,P O BOX 69,WARREN,TX,77664-0069,440 W MONROE HWY 326,KOUNTZE,TX,77625, , ,lance.johnson@warrenisd.net,,    ,'06-12,-1,Active,6/19/12,7/24/13 5:35
'229906001,CHESTER H S,REGULAR INSTRUCTIONAL,,273 YELLOWJACKET DR,CHESTER,TX,75936-0028,273YELLOWJACKET DR,CHESTER,TX,75936-0028,(936) 969-2353,(936) 969-3079,chesterisd@esc5.net,chesterisd.com,MR WAYNE IVEY   ,'06-12,95,Active, ,7/24/13 5:35
'233901119,JUVENILE DETENTION CENTER,JJAEP INSTRUCTIONAL,,P O BOX 420128,DEL RIO,TX,78840-0128,GRINER ST,DEL RIO,TX,78842,(830) 778-4450,(830) 778-4905,ramon.menchaca@sfdr-cisd.org,www.sfdr-cisd.org,    ,'06-12,0,Active,9/1/01,7/24/13 5:35
'234801001,RANCH ACADEMY,ALTERNATIVE INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,3120 VZCR 2318,CANTON,TX,75103,3120 VZCR 2318,CANTON,TX,75103,(903) 479-3601,(903) 479-1161,mpardue@raschools.com,,MS MELISSA PARDUE   ,'06-12,63,Active,1/1/99,7/24/13 5:35
'234904003,VAN ZANDT ALTERNATIVE EDUCATION PROG COOP,ALTERNATIVE INSTRUCTIONAL,,318 N SALINE,GRAND SALINE,TX,75140-1916,318 N SALINE,GRAND SALINE,TX,75140-1916,(903) 962-6694,(903) 962-7170,randerson@grandsalineisd.net,,MR RICHARD W ANDERSON   ,'06-12,0,Active,7/28/99,7/24/13 5:35
'234905003,MABANK DAEP,ALTERNATIVE INSTRUCTIONAL,,309 E MARKET ST,MABANK,TX,75147,309 E MARKET ST,MABANK,TX,75147,(903) 880-1300,(903) 880-1303,aecoker@mabankisd.net,mabankisd.net,RICHARD ANDERSON   ,'06-12,0,Active,6/12/03,7/24/13 5:35
'235902004,MITCHELL GUIDANCE CENTER,DAEP INSTRUCTIONAL,,P O BOX 1759,VICTORIA,TX,77902-6602,306 E COMMERCIAL,VICTORIA,TX,77901-6602,(361) 788-9658,(361) 788-9665,tedrick.valentine@visd.net,,MR TEDRICK VALENTINE   ,'06-12,30,Active,2/3/88,7/24/13 5:35
'237904105,WALLER J J A E P,JJAEP INSTRUCTIONAL,,1918 KEY ST,WALLER,TX,77484,1918 KEY ST,WALLER,TX,77484,(936) 931-3685,(936) 372-5576,tmooney@wallerisd.net,wallerisd.net,MR DANNY TWARDOWSKI   ,'06-12,0,Active, ,7/24/13 5:35
'240901007,F S LARA ACADEMY,ALTERNATIVE INSTRUCTIONAL,,2901 E TRAVIS ST,LAREDO,TX,78043-1204,2901 E TRAVIS ST,LAREDO,TX,78043-1204,(956) 273-7900,(956) 726-0350,rchaney@laredoisd.org,,MR ROBERT N CHANEY   ,'06-12,96,Active,1/1/96,7/24/13 5:35
'240901010,WEBB COUNTY J J A E P,JJAEP INSTRUCTIONAL,,4602 N BARTLETT ST,LAREDO,TX,78040-4906,4602 N BARTLETT ST,LAREDO,TX,78040-4906,(956) 717-1220,(956) 717-0613,,,MRS ADRIANA ALEXANDER   ,'06-12,13,Active,7/1/96,7/24/13 5:35
'240903006,JUVENILLE JUSTICE ALTERNATIVE PROGRAM,JJAEP INSTRUCTIONAL,,4602 N BARLETT AVE,LAREDO,TX,78041-2429,4602 N BARLETT AVE,LAREDO,TX,78041-2429, , ,,,MRS ADRIANA ALEXANDER   ,'06-12,32,Active,8/1/96,7/24/13 5:35
'240904002,WEBB D A E P,DAEP INSTRUCTIONAL,,P O BOX 206,BRUNI,TX,78344-0206,619 AVE F,BRUNI,TX,78344-0206,(361) 747-5415 ext:114 ,(361) 747-5202,severita.sanchez@webbcisd.com,www.webbcisd.org,    ,'06-12,0,Active,8/1/96,7/24/13 5:35
'244903002,NORTH TEXAS STATE HOSPITAL - AFP - VERNON,ALTERNATIVE INSTRUCTIONAL,,1713 WILBARGER ST # 203,VERNON,TX,76384-4741,HWY 70 N W,VERNON,TX,76384-4741,(940) 552-9901 ext:4646,(940) 552-5209,Joe.Hennessee@vernonisd.org,www.vernonisd.org,MR JOE HENNESSEE   ,'06-12,55,Active,7/15/87,7/24/13 5:35
'245902002,CCJJAEP,JJAEP INSTRUCTIONAL,,P O BOX 220,LYFORD,TX,78569, , ,TX, , , ,,,    ,'06-12,0,Active,6/7/06,7/24/13 5:35
'245903003,CCJJAEP,JJAEP INSTRUCTIONAL,,ONE BEARKAT BLVD,RAYMONDVILLE,TX,78580,ONE BEARKAT BLVD,RAYMONDVILLE,TX,78580-3351,(956) 689-8176 ext:4101,(956) 689-0201,jipineda@raymondvilleisd.org,www.raymondvilleisd.org,    ,'06-12,0,Active,6/12/06,7/24/13 5:35
'246902004,LOTT DETENTION CENTER,DAEP INSTRUCTIONAL,,P O BOX 489,FLORENCE,TX,76527-0489,701 N COLLEGE ST,GEORGETOWN,TX,78626-4105, , ,,,LINDA TAYLOR   ,'06-12,0,Active,6/9/03,7/24/13 5:35
'246904003,GEORGETOWN ALTER PROG,DAEP INSTRUCTIONAL,,502 PATRIOT WAY,GEORGETOWN,TX,78626,502 PATRIOT WAY,GEORGETOWN,TX,78626,(512) 943-5196,(512) 943-5197,websterm@georgetownisd.org,www.georgetownisd.org/gap,MICHAEL MILLER   ,'06-12,16,Active,1/1/95,7/24/13 5:35
'246905002,WILLIAMSON CO J J A E P,JJAEP INSTRUCTIONAL,,P O BOX 578,GRANGER,TX,76530-0578,1821 SE INNER LOOP,GEORGETOWN,TX,78626, , ,lthornton@granger.txed.net,,    ,'06-12,0,Active,7/1/97,7/24/13 5:35
'246905003,WM S LOTT JUVENILE CTR,DAEP INSTRUCTIONAL,,P O BOX 578,GRANGER,TX,76530,300 N COLORADO ST,GRANGER,TX,76530,(512) 859-2613 ext:222 ,(512) 859-2446,mvrana@granger.txed.net,,    ,'06-12,0,Active,10/1/04,7/24/13 5:35
'246906003,LOTT DETENTION CENTER,DAEP INSTRUCTIONAL,,701 N COLLEGE ST,GEORGETOWN,TX,78626-4105,701 N COLLEGE ST,GEORGETOWN,TX,78626-4105,(512) 948-4005,(512) 819-0315,PaPrince@wilco.org,,ROBERT FISCHER   ,'06-12,-1,Active,8/27/02,7/24/13 5:35
'246907002,WILLIAMSON CO J J A E P,JJAEP INSTRUCTIONAL,,P O BOX 9,JARRELL,TX,76537,1821 SE INNER LOOP,GEORGETOWN,TX,78626,(512) 746-2124,(512) 746-2518,abbe.lester@jarrellisd.org,,    ,'06-12,-1,Active,8/1/96,7/24/13 5:35
'246907004,LOTT DETENTION CENTER,ALTERNATIVE INSTRUCTIONAL,,P O BOX 9,JARRELL,TX,76537, , ,TX, , , ,,,    ,'06-12,-1,Active,8/18/03,7/24/13 5:35
'246908005,WILLIAMSON CO ACADEMY,JJAEP INSTRUCTIONAL,,200 WILCO WAY,GEORGETOWN,TX,78626-9999,200 WILCO WAY,GEORGETOWN,TX,78626-9999,(512) 943-3260,(512) 943-3288,bmabry@libertyhill.txed.net,,MR ROBERT FISCHER   ,'06-12,0,Active,7/1/97,7/24/13 5:35
'246908006,WILLIAMSON COUNTY JUVENILE DETENTION CENTER,DAEP INSTRUCTIONAL,,1821 SE INNER LOOP,GEORGETOWN,TX,78626,1821 SE INNER LOOP,GEORGETOWN,TX,78626,(512) 943-3260,(512) 943-3288,bmabry@libertyhill.txed.net,,MR ROBERT FISCHER   ,'06-12,-1,Active,9/1/02,7/24/13 5:35
'246909002,ROUND ROCK OPPORT CTR DAEP,DAEP INSTRUCTIONAL,,931 LUTHER PETERSON PL,ROUND ROCK,TX,78664,931 LUTHER PETERSON PL,ROUND ROCK,TX,78664,(512) 428-2900,(512) 428-2943,billie_duncan-smith@roundrockisd.org,schools.roundrockisd.org/rroc/,MR RENE POSEY   ,'06-12,99,Active,7/31/87,7/24/13 5:35
'246909005,GOALS,ALTERNATIVE INSTRUCTIONAL,,300 N LK CREEK DR,ROUND ROCK,TX,78681-4997,300 N LK CREEK DR,ROUND ROCK,TX,78681-4997,(512) 464-5153,(512) 428-7940,ranee_webb@roundrockisd.org,,PHILLIP CLAYTON   ,'06-12,0,Active,7/1/93,7/24/13 5:35
'246911010,WILLIAMSON CO JJAEP,JJAEP INSTRUCTIONAL,,602 W 12TH ST,TAYLOR,TX,76574-2998,602 W 12TH ST,TAYLOR,TX,76574-2998, , ,,,    ,'06-12,-1,Active,7/1/97,7/24/13 5:35
'246913010,WILLIAMSON CO ACADEMY,JJAEP INSTRUCTIONAL,,1821 SE INNER LOOP,GEORGETOWN,TX,78626,1821 SE INNER LOOP,GEORGETOWN,TX,78626,(512) 943-3255,(512) 943-3288,ltaylor@wilco.org,,LINDA TAYLOR   ,'06-12,5,Active,4/4/97,7/24/13 5:35
'246913013,TRAVIS CO J J A E P,JJAEP INSTRUCTIONAL,,P O BOX 218,LEANDER,TX,78646-0218,204 W S ST,LEANDER,TX,78641,(512) 434-5000, ,,,    ,'06-12,0,Active,3/19/07,7/24/13 5:35
'247904004,POTH CHOICE PROGRAM,ALTERNATIVE INSTRUCTIONAL,,335 ALTERNATIVE LN,FLORESVILLE,TX,78114,335 ALTERNATIVE LN,FLORESVILLE,TX,78114,(830) 393-5368,(830) 393-5706,bbox@fisd.us,,BUD BOX   ,'06-12,0,Active,6/27/03,7/24/13 5:35
'250905001,YANTIS SCHOOL,REGULAR INSTRUCTIONAL,,105 W OAK ST,YANTIS,TX,75497,105 W OAK,YANTIS,TX,75497,(903) 383-2463 ext:2   ,(903) 383-3075,malphin@yantisisd.net,www.yantisisd.net,MR MICHAEL ALPHIN   ,'06-12,169,Active, ,7/24/13 5:35
'250906001,ALBA-GOLDEN H S,REGULAR INSTRUCTIONAL,,1373 CR 2377,ALBA,TX,75410-9706,HWY 69 N,ALBA,TX,75410-9706,(903) 768-2472 ext:201 ,(903) 768-2303,mizem@agisd.org,www.agisd.com,MR MICHAEL MIZE   ,'06-12,430,Active,7/1/69,7/24/13 5:35
'205901002,ARANSAS PASS JJAEP,JJAEP INSTRUCTIONAL,,244 W HARRISON BLVD,ARANSAS PASS,TX,78336,244 W HARRISON BLVD,ARANSAS PASS,TX,78336-2442,(361) 758-3466,(361) 758-2962,ravery@apisd.org,apisd.org,    ,'06-UG,0,Active,6/11/03,7/24/13 5:35
'095905041,CORONADO J H,REGULAR INSTRUCTIONAL,,2501 JOLIET ST,PLAINVIEW,TX,79072-3099,2501 JOLIET ST,PLAINVIEW,TX,79072-3099,(806) 293-6020,(806) 296-4177,andrew.hannon@plainview.k12.tx.us,,ANDREW HANNON   ,'07,414,Active, ,7/24/13 5:34
'001907041,PALESTINE J H,REGULAR INSTRUCTIONAL,,233 BEN MILAM DR,PALESTINE,TX,75801-6003,233 BEN MILAM DR,PALESTINE,TX,75801-6003,(903) 731-8008,(877) 655-0731,lloveless@palestineschools.org,www.palestineschools.org,MRS LARISSA LOVELESS   ,'07 08,443,Active, ,7/24/13 5:34
'001908041,WESTWOOD J H,REGULAR INSTRUCTIONAL,,P O BOX 260,PALESTINE,TX,75802-0260,1801 PANTHER BLVD,PALESTINE,TX,75803-8482,(903) 723-0423,(903) 723-6765,dgressler@westwoodisd.net,,MR RONNIE SHEPPERD   ,'07 08,241,Active, ,7/24/13 5:34
'003905041,DIBOLL J H,REGULAR INSTRUCTIONAL,,403 DENNIS ST,DIBOLL,TX,75941-2102,403 DENNIS ST,DIBOLL,TX,75941-2102,(936) 829-5225,(936) 829-5848,mkettering@dibollisd.com,,MR MARK KETTERING   ,'07 08,277,Active, ,7/24/13 5:34
'007905041,PLEASANTON J H,REGULAR INSTRUCTIONAL,,831 STADIUM DR,PLEASANTON,TX,78064-2499,1140 JOLLY ST,PLEASANTON,TX,78064-2499,(830) 569-1280,(830) 569-2514,hosterman@pisd.us,www.pisd.us,MRS HELEN OSTERMAN   ,'07 08,523,Active, ,7/24/13 5:34
'011901041,BASTROP MIDDLE,REGULAR INSTRUCTIONAL,,709 OLD AUSTIN HWY,BASTROP,TX,78602-3717,709 OLD AUSTIN HWY,BASTROP,TX,78602-3717,(512) 321-3911,(512) 321-1557,skinsey@bisdtx.org,www.bisdtx.org,SAMI KINSEY   ,'07 08,650,Active, ,7/24/13 5:34
'011901106,CEDAR CREEK MIDDLE,REGULAR INSTRUCTIONAL,,125 VOSS PKWY,CEDAR CREEK,TX,78612,125 VOSS PKWY,CEDAR CREEK,TX,78612,(512) 332-2626,(512) 332-2631,jhallamek@bisdtx.org,www.bisdtx.org,MR JIM HALLAMEK   ,'07 08,749,Active,6/3/99,7/24/13 5:34
'013901041,MORENO J H,REGULAR INSTRUCTIONAL,,301 N MINNESOTA ST,BEEVILLE,TX,78102-4197,301 N MINNESOTA ST,BEEVILLE,TX,78102-4197,(361) 358-6262,(361) 362-6092,jbarber@beevilleisd.net,beevilleisd.net,JONI BARBER   ,'07 08,808,Active,7/1/93,7/24/13 5:34
'014908042,SALADO J H,REGULAR INSTRUCTIONAL,,P O BOX 98,SALADO,TX,76571,620 THOMAS ARNOLD RD,SALADO,TX,76571,(254) 947-6935,(254) 947-6934,chris.diem@saladoisd.org,www.saladoisd.org,MR CHRIS DIEM   ,'07 08,204,Active,6/20/08,7/24/13 5:34
'015806041,DR PAUL S SAENZ J H,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,1830 BASSE RD,SAN ANTONIO,TX,78213,1830 BASSE RD,SAN ANTONIO,TX,78213,(210) 431-9881,(210) 435-8096,jcuellar@excellence-sa.org,,JAMES CUELLAR   ,'07 08,215,Active,9/8/04,7/24/13 5:34
'015815101,RADIANCE ACADEMY OF LEARNING WESTLAKES,ALTERNATIVE INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,8308 FREDERICKSBURG RD,SAN ANTONIO,TX,78229,8308 FREDERICKSBURG RD,SAN ANTONIO,TX,78229,(210) 593-0111,(210) 615-3954,squintero@shekinah-edu.com,,JAVIER ARREDONDO   ,'07 08,10,Active,9/27/99,7/24/13 5:34
'015909041,SOMERSET J H,REGULAR INSTRUCTIONAL,,P O BOX 279,SOMERSET,TX,78069-0279,7791 6TH ST,SOMERSET,TX,78069-0279,(866) 852-9862,(866) 448-2738,shannon.boyd@sisdk12.net,www.sisdtx.sharpschool.com,MS SHANNON BOYD   ,'07 08,582,Active, ,7/24/13 5:34
'015917041,JULIUS L MATTHEY MIDDLE,REGULAR INSTRUCTIONAL,,1460 MARTINEZ LOSOYA RD,SAN ANTONIO,TX,78221-9648,20350 RED FOREST LN,SAN ANTONIO,TX,78264,(210) 882-1601,(210) 626-0113,Michelle.Hickman@SOUTHSIDE.K12.TX.US,sms.southsideisd.org/home.aspx,MICHELLE HICKMAN   ,'07 08,791,Active, ,7/24/13 5:34
'018904041,VALLEY MILLS J H,REGULAR INSTRUCTIONAL,,P O BOX 518,VALLEY MILLS,TX,76689-0518,HWY # 6 & # 1 EAGLE WAY,VALLEY MILLS,TX,76689-0518,(254) 932-5251, ,,,JOE CROWNOVER   ,'07 08,97,Active,7/16/96,7/24/13 5:34
'019906041,REDWATER J H,REGULAR INSTRUCTIONAL,,P O BOX 347,REDWATER,TX,75573,204 RED RIVER RD N,REDWATER,TX,75573,(903) 671-3227, ,,www.redwaterisd.org,KELLY LUSK   ,'07 08,-1,Active, ,7/24/13 5:34
'019908041,LIBERTY-EYLAU MIDDLE,REGULAR INSTRUCTIONAL,,5555 LEOPARD DR,TEXARKANA,TX,75501-9245,5555 LEOPARD DR,TEXARKANA,TX,75501-9245,(903) 838-5555,(903) 832-6700,william.houff@leisd.net,www.leisd.net,MR WILLIAM HOUFF   ,'07 08,400,Active,9/1/73,7/24/13 5:34
'020904041,DANBURY MIDDLE,REGULAR INSTRUCTIONAL,,P O BOX 586,DANBURY,TX,77534-0586,5611 PANTHER DR,DANBURY,TX,77534,(979) 922-1226,(979) 922-1051,Toby.Nix@danburyisd.org,www.danburyisd.org,MRS TOBY NIX   ,'07 08,114,Active,7/18/80,7/24/13 5:34
'020905042,FREEPORT INT,REGULAR INSTRUCTIONAL,,P O DRAWER Z,FREEPORT,TX,77541-1926,1815 W FOURTH ST,FREEPORT,TX,77541-1926,(979) 730-7240,(979) 237-6329,ktraylor@brazosportisd.net,,MS KRISTINE TRAYLOR   ,'07 08,493,Active, ,7/24/13 5:34
'020905043,LAKE JACKSON INT,REGULAR INSTRUCTIONAL,,P O DRAWER Z,FREEPORT,TX,77541-1926,100 OYSTER CREEK DR,LAKE JACKSON,TX,77566-4401,(979) 730-7250,(979) 292-2804,johare@brazosportisd.net,,MR BRENT JACO   ,'07 08,908,Active, ,7/24/13 5:34
'020907042,WEST BRAZOS J H,REGULAR INSTRUCTIONAL,,P O BOX 158,WEST COLUMBIA,TX,77486-0158,111 ROUSTABOUT DR,BRAZORIA,TX,77442,(979) 799-1700,(979) 798-8000,steven.galloway@cbisd.com,www.cbisd.com,MRS MARGARET MEADOWS   ,'07 08,465,Active, ,7/24/13 5:34
'020908041,PEARLAND J H EAST,REGULAR INSTRUCTIONAL,,P O BOX 7,PEARLAND,TX,77588-0007,2315 OLD ALVIN RD,PEARLAND,TX,77581-4427,(281) 485-2481,(281) 412-1203,chamblissa@pearlandisd.org,,MS ANNETTE CHAMBLISS   ,'07 08,682,Active, ,7/24/13 5:34
